city,country,latitude,longitude,temp,humid,cloud,wind
Grindavik,IS,63.84,-22.43,48.2,93,90,2.24
Albany,US,42.6,-73.97,69.01,100,31,3.18
Busselton,AU,-33.65,115.33,63.0,48,100,8.39
Cape Town,ZA,-33.93,18.42,64.0,87,75,3.36
Port Alfred,ZA,-33.59,26.89,64.44,59,11,25.77
Lebu,CL,-37.62,-73.65,45.7,83,100,9.44
Alice Springs,AU,-23.7,133.88,69.8,10,0,11.41
Hong Kong,HK,22.29,114.16,91.0,52,90,17.0
Saint Paul Harbor,US,57.79,-152.41,53.6,76,1,4.7
Dikson,RU,73.51,80.55,51.66,77,0,8.3
Tilichiki,RU,60.47,166.1,52.27,97,100,3.44
Nishifukuma,JP,33.77,130.47,87.8,70,75,13.87
Thompson,CA,55.74,-97.86,55.4,100,5,2.24
Mar del Plata,AR,-38.0,-57.56,39.99,76,0,3.36
Luan,CH,46.36,6.98,78.01,66,0,1.01
Berlevåg,NO,70.86,29.09,51.8,81,75,17.22
Alyangula,AU,-13.85,136.42,80.6,42,0,8.05
Bredasdorp,ZA,-34.53,20.04,59.0,77,32,9.17
Springfield,US,37.22,-93.3,73.0,100,40,9.17
Bagdarin,RU,54.43,113.6,66.76,88,100,3.04
Ostrovnoy,RU,68.05,39.51,54.34,72,0,18.07
Garoowe,SO,8.41,48.48,91.89,35,0,27.29
Ponta do Sol,PT,32.67,-17.1,69.8,64,40,8.05
Ushuaia,AR,-54.8,-68.3,35.6,64,20,6.93
Salinópolis,BR,-0.61,-47.36,76.19,86,30,4.05
Kapaa,US,22.08,-159.32,75.2,94,75,17.22
Severo-Yeniseyskiy,RU,60.37,93.04,67.82,83,54,9.8
Hilo,US,19.73,-155.09,73.4,83,90,5.82
Khatanga,RU,71.97,102.5,71.8,47,39,10.04
Nanortalik,GL,60.14,-45.24,45.46,92,99,6.58
Chifeng,CN,42.27,118.96,94.64,29,94,16.55
Tomatlán,MX,19.93,-105.25,73.56,92,100,5.68
Kismayo,SO,-0.36,42.55,82.0,71,14,15.35
Ola,RU,59.58,151.28,61.07,49,100,12.24
Jamestown,US,42.1,-79.24,64.4,93,20,8.05
Lavumisa,SZ,-27.31,31.89,73.31,23,0,1.77
Punta Arenas,CL,-53.15,-70.92,30.2,100,35,6.93
Río Gallegos,AR,-51.62,-69.22,28.4,86,26,3.36
Fortuna,US,40.6,-124.16,55.0,94,0,3.04
George Town,MY,5.41,100.34,89.6,59,40,9.17
Yellowknife,CA,62.46,-114.35,61.0,93,75,5.82
New Norfolk,AU,-42.78,147.06,51.01,71,26,1.01
Steamboat Springs,US,40.48,-106.83,55.4,66,1,2.48
